LetterCount, Pattern, Word1, Word2, Word3, Word4, Word5, Word6, Word7, Word8, Word9
15 Letters,"3,9,3",the Victorian age,the Victorian era,The Yorkshire Vet,,,,,,
15 Letters,"3,11,1",The Magnificent 7,,,,,,,,
15 Letters,"3,12",air conditioning,all encompassing,bio luminescence,boa constrictors,bog whortleberry,car manufacturer,car registration,Dag Hammarskjold,dim recollection
15 Letters,"3,12",due deliberation,gas refrigerator,get instructions,get reacquainted,gun emplacements,had reservations,has reservations,hip replacements,ill humouredness
15 Letters,"3,12",ill preparedness,ill proportioned,job applications,job satisfaction,low expectations,low productivity,low spiritedness,met expectations,neo Palladianism
15 Letters,"3,12",non agricultural,non attributable,non commissioned,non contributory,non conventional,non effervescent,non governmental,non intellectual,
15 Letters,"3,12",non interference,non intervention,non judgmentally,non participants,non partisanship,non prescription,non professional,non profitmaking,non transferable
15 Letters,"3,12",not deliberately,not domesticated,not enthusiastic,not particularly,not surprisingly,not transferable,not unexpectedly,not unsurprising,old acquaintance
15 Letters,"3,12",Old contemptible,own recognizance,pay compensation,pre Raphaelitism,pro abortionists,Roy Lichtenstein,sub postmistress,Ten commandments,The Anniversarie
15 Letters,"3,12",The Annunciation,the collywobbles,the commentariat,the Commonwealth,The Conversation,the fundamentals,The Marseillaise,the Plantagenets,the Principality
15 Letters,"3,12",The Psychiatrist,The Silmarillion,The Springfields,the subconscious,the supernatural,The Untouchables,two teaspoonfuls,two teaspoonsful,von Koeldwethout
15 Letters,"3,12",web applications,,,,,,,,
15 Letters,"4,1,3,2,1,4",buys a pig in a poke,sell a pig in a poke,sold a pig in a poke,,,,,,
15 Letters,"4,1,3,2,5",have a bit of faith,have a lot of money,have a lot to offer,open a can of worms,take a bit of stick,,,,
15 Letters,"4,1,3,5,2",make a big issue of,,,,,,,,
15 Letters,"4,1,3,7",have a bad feeling,have a few bevvies,have a few niggles,have a gut feeling,keep a low profile,kept a low profile,pull a few strings,,
15 Letters,"4,1,4,1,5",ring a ring a roses,Ring a ring o roses,,,,,,,
15 Letters,"4,1,4,2,2,2",made a cock up of it,make a cock up of it,,,,,,,
15 Letters,"4,1,4,2,4",have a bone to pick,have a game in hand,have a part to play,have a role to play,lead a life of ease,live a life of ease,,,
15 Letters,"4,1,4,4,2",draw a veil over it,have a good mind to,,,,,,,
15 Letters,"4,1,4,6",cast a long shadow,come a poor second,draw a deep breath,drew a deep breath,earn a good living,give a good hiding,have a full agenda,have a good excuse,have a good memory
15 Letters,"4,1,4,6",have a good reason,have a long memory,have a mean streak,have a poor memory,like a dog's dinner,made a nice change,made a tidy profit,make a full report,make a good excuse
15 Letters,"4,1,4,6",make a nice change,make a tidy profit,rock n roll singer,take a cold shower,take a deep breath,talk a blue streak,took a deep breath,turn a tidy profit,
15 Letters,"4,1,5,2,3",know a thing or two,know a trick or two,,,,,,,
15 Letters,"4,1,5,3,2",keep a beady eye on,keep a close eye on,made a break for it,make a break for it,turn a blind eye to,,,,
15 Letters,"4,1,5,5",form a human chain,gets a green light,give a green light,have a close shave,have a dicky heart,have a dizzy spell,have a prior claim,have a quiet drink,have a rough night
15 Letters,"4,1,5,5",have a screw loose,have a slate loose,have a stiff drink,have a sweet tooth,keep a clean sheet,keep a close watch,kept a clean sheet,kept a close watch,laid a false trail
15 Letters,"4,1,5,5",lays a false trail,lead a merry dance,made a clean break,made a fresh start,make a clean break,make a clean sweep,make a dream start,make a fresh start,make a noise about
15 Letters,"4,1,5,5",need a stiff drink,pour a stiff drink,ride a hobby horse,take a sharp right,take a weeks leave,upon a white horse,wear a fixed smile,with a heavy heart,with a light touch
15 Letters,"4,1,6,2,2",make a career of it,Take a Chance on Me,take a gamble on it,take a glance at it,took a gamble on it,,,,
15 Letters,"4,1,6,4",bowl a maiden over,cast a shadow over,cock a leekie soup,earn a living wage,give a guided tour,have a bright idea,have a hollow ring,have a little rest,have a lovely time
15 Letters,"4,1,6,4",have a pretty face,have a rotten time,have a varied diet,just a pretty face,lead a double life,lead a normal life,left a gaping hole,live a double life,made a mental note
15 Letters,"4,1,6,4",make a mental note,make a social call,take a breath test,take a flying leap,take a second look,what a rotten song,with a little luck,,
15 Letters,"4,1,7,3",half a century ago,have a craving for,have a falling out,have a musical ear,like a drowned rat,make a beeline for,,,
15 Letters,"4,1,8,2",make a horlicks of,make a practice of,,,,,,,
15 Letters,"4,1,10",does a disservice,draw a comparison,draw a conclusion,form a government,half a grapefruit,have a discussion,have a girlfriend,have a reputation,keep a confidence
15 Letters,"4,1,10",made a commitment,made a comparison,made a concession,made a confession,made a connection,made a difference,made a suggestion,made a withdrawal,make a commitment
15 Letters,"4,1,10",make a comparison,,,,,,,,
15 Letters,"4,1,10",make a compromise,make a concession,make a confession,make a connection,make a correction,make a difference,make a pilgrimage,make a prediction,make a projection
15 Letters,"4,1,10",make a resolution,make a suggestion,make a withdrawal,paid a compliment,pass a resolution,pays a compliment,ride a broomstick,sign a disclaimer,skip a generation
15 Letters,"4,1,10",take a backhander,take a percentage,take a photograph,take a sabbatical,take a screenshot,took a backhander,took a deflection,took a photograph,took a screenshot
15 Letters,"4,1,10",wear a buttonhole,what a difference,with a difference,wore a buttonhole,,,,,
15 Letters,"4,2,1,3,5",show in a bad light,,,,,,,,
15 Letters,"4,2,1,4,4",calm as a mill pond,came to a full stop,come to a full stop,dead as a door nail,free to a good home,once in a blue moon,,,
15 Letters,"4,2,1,5,3",Esau is a hairy man,What Am I After All,,,,,,,
15 Letters,"4,2,1,8",came as a surprise,came to a decision,come as a surprise,come to a decision,dead as a doorknob,dead as a doornail,deaf as a doornail,don't be a stranger,draw up a contract
15 Letters,"4,2,1,8",drew up a contract,keep as a souvenir,keep at a distance,kept as a souvenir,lack of B vitamins,make it a priority,much of a muchness,once in a lifetime,sell at a discount
15 Letters,"4,2,1,8",sold at a discount,work to a deadline,,,,,,,
15 Letters,"4,2,2,1,6",hang on by a thread,Tell Me on a Sunday,,,,,,,
15 Letters,"4,2,2,2,5",Beam me up Mr Scott,Beam us up Mr Scott,Meet Me in St Louis,take it as it comes,,,,,
15 Letters,"4,2,2,3,4",laid it on the line,lays it on the line,live up to the hype,take it on the chin,took it on the chin,,,,
15 Letters,"4,2,2,4,3",hold on to your hat,look at it this way,,,,,,,
15 Letters,"4,2,2,5,2",don't go on about it,Love Me or Leave Me,play me or trade me,take it or leave it,,,,,
15 Letters,"4,2,2,7",came up to scratch,come to an impasse,come up to scratch,drop in on someone,face up to reality,gang up on someone,hand it to someone,have it in writing,keep it to oneself
15 Letters,"4,2,2,7",keep up to scratch,Land of my Fathers,look in on someone,look up to someone,Moab is My Washpot,much to be desired,Send Me No Flowers,take it on oneself,take up an inquiry
15 Letters,"4,2,3,1,5",dare to eat a peach,life is but a dream,this is not a drill,,,,,,
15 Letters,"4,2,3,2,4",easy to get on with,half as old as time,hard to get on with,tell it not in Gath,,,,,
15 Letters,"4,2,3,3,3",give up the day job,keep an eye out for,,,,,,,
15 Letters,"4,2,3,4,2",what do you call it,,,,,,,,
15 Letters,"4,2,3,6",back in the saddle,Back to the Future,bang in the middle,bats in the belfry,bite of the cherry,born in the purple,burn to the ground,call no man master,came to the rescue
15 Letters,"4,2,3,6",come to the rescue,come to the throne,crux of the matter,down in the depths,down on the ground,down to the ground,fact of the matter,fall to the ground,feet on the ground
15 Letters,"4,2,3,6",fell to the ground,fill in the blanks,frog in the throat,game of two halves,goal of the season,grab by the throat,harp on one string,have it all sussed,head in the clouds
15 Letters,"4,2,3,6",heat of the moment,heir to the throne,,,,,,,
15 Letters,"4,2,3,6",held in low esteem,high on the agenda,hold in low esteem,hole in the ground,item on the agenda,Jack in the Pulpit,jack of all trades,Jill of all trades,join in the chorus
15 Letters,"4,2,3,6",jump at the chance,keep to the script,king of the beasts,king of the castle,king of the forest,king of the jungle,king of the salmon,Kiss of the Dragon,leap at the chance
15 Letters,"4,2,3,6",Life of the Virgin,lily of the valley,live in the moment,look in the mirror,look to the future,Love is All Around,lump in the throat,meet in the middle,mind in the gutter
15 Letters,"4,2,3,6",open to the public,part of the family,pass on the stairs,pick up the pieces,pick up the thread,pigs at the trough,play to the camera,Puss in the corner,raze to the ground
15 Letters,"4,2,3,6",ride to the rescue,roll on the ground,root of the matter,runs in the family,runt of the litter,sank to the bottom,seen it all before,Send in the Clowns,ship of the desert
15 Letters,"4,2,3,6",sign of the zodiac,sink to the bottom,slam on the brakes,slap in the middle,slip of the tongue,slow on the uptake,Sons of the Desert,spur of the moment,stay at the Hilton
15 Letters,"4,2,3,6",step up the ladder,stir up the embers,take in the sights,take on the mantle,take to the bottle,Tale of Two Cities,thin on the ground,took in the sights,took on the mantle
15 Letters,"4,2,3,6",took to the bottle,true to the letter,true to the spirit,turn up the volume,what do you charge,word on the street,Year of the Dragon,Year of the Monkey,Year of the Rabbit
15 Letters,"4,2,4,1,4",able to take a joke,don't be such a fool,don't be such a wimp,roll up into a ball,,,,,
15 Letters,"4,2,4,2,3",Come Ye Sons of Art,love me love my dog,this is just to say,,,,,,
15 Letters,"4,2,4,3,2",have it with jam on,Love Me like You Do,take my word for it,,,,,,
15 Letters,"4,2,4,5",ants in one's pants,ants in your pants,back on one's heels,cash in one's chips,cash in your chips,cold in one's grave,don't do that again,down on one's knees,down on your knees
15 Letters,"4,2,4,5",draw in one's horns,fail to hold water,fall on hard times,fall on one's sword,fall on your sword,fall to one's knees,feel in one's bones,fell on hard times,find it hard going
15 Letters,"4,2,4,5",fire in one's belly,gird up one's loins,gird up your loins,give it some welly,half as much again,hand in one's chips,hang up one's boots,hang up your boots,have no role model
15 Letters,"4,2,4,5",hell or high water,hold in one's hands,keep up one's guard,kick up one's heels,less of your cheek,made in Gods image,melt in one's mouth,near to one's heart,need to know basis
15 Letters,"4,2,4,5",part on good terms,plum in one's mouth,pull in one's horns,rare as hens teeth,sank to one's knees,seat of one's pants,sink to one's knees,step by step guide,sunk to one's knees
15 Letters,"4,2,4,5",take at face value,take it from there,take to one's heart,take to one's heels,take to your heels,talk in one's sleep,till we meet again,time on one's hands,time on your hands
15 Letters,"4,2,4,5",took at face value,took to one's heels,turn in one's grave,turn in your grave,walk in one's sleep,When We Were Kings,,,
15 Letters,"4,2,5,1,3",room to swing a cat,,,,,,,,
15 Letters,"4,2,5,2,2",come to think of it,make an issue of it,,,,,,,
15 Letters,"4,2,5,4",come to grips with,come to terms with,fine as frog's hair,hand in glove with,hang on every word,have an itchy palm,have no fight left,have no truck with,hope it keeps fine
15 Letters,"4,2,5,4",make or break time,Pawn to Queen four,Puck of Pook's Hill,take an early bath,take an early lead,take it lying down,tidy up loose ends,tied up loose ends,took an early bath
15 Letters,"4,2,5,4",took it lying down,When I'm Sixty Four,Wife of Bath's Tale,wrap up loose ends,,,,,
15 Letters,"4,2,6,3",back to square one,have no regard for,knew it inside out,know it inside out,This is Spinal Tap,,,,
15 Letters,"4,2,7,2",fail to measure up,feat of derring do,give an inkling of,have an evening in,have no bearing on,have no clothes on,keep it bottled up,keep on keeping on,made an example of
15 Letters,"4,2,7,2",make an example of,make no scruple of,take no account of,took no account of,,,,,
15 Letters,"4,2,9",acts as guarantor,acts of terrorism,acts on principle,area of expertise,back to normality,bank on something,body of knowledge,bolt of lightning,bred in captivity
15 Letters,"4,2,9",call an ambulance,cast an aspersion,cast of thousands,City of Edinburgh,code of behaviour,cult of celebrity,debt of gratitude,died of pneumonia,don't be strangers
15 Letters,"4,2,9",don't go overboard,Duke of Cambridge,Duke of Edinburgh,Earl of Leicester,Earl of Rochester,eggs in moonshine,Epic of Gilgamesh,feat of endurance,full of surprises
15 Letters,"4,2,9",fund of knowledge,gain an advantage,game of billiards,hall of residence,hard to pronounce,hard to starboard,have an interview,have no illusions,have no objection
15 Letters,"4,2,9",head on collision,join in matrimony,jump to attention,keep in detention,keep in ignorance,keep up standards,kept in detention,kept in ignorance,know it backwards
15 Letters,"4,2,9",lack of attention,lack of concensus,lack of curiosity,lack of dexterity,lack of foresight,lack of incentive,lack of judgement,lack of knowledge,
15 Letters,"4,2,9",lack of nutrients,lack of nutrition,lack of propriety,lack of restraint,lack of willpower,Life is Beautiful,line of scrimmage,list to starboard,loss of innocence
15 Letters,"4,2,9",loss of virginity,made an objection,made no objection,make an amendment,make an exception,make an inventory,make an objection,make no objection,mark of authority
15 Letters,"4,2,9",mode of transport,neat as ninepence,need an ambulance,need an operation,odds on favourite,open to criticism,open to suspicion,paid no attention,pair of compasses
15 Letters,"4,2,9",pair of virginals,pink of condition,pool of knowledge,poor in nutrients,rich in nutrients,Road to Perdition,rock of Gibraltar,room to manoeuvre,
15 Letters,"4,2,9",seat of intellect,sign an autograph,sits in judgement,Star of Bethlehem,stay in formation,stay of execution,stop go economics,take it seriously,take no prisoners
15 Letters,"4,2,9",take on allcomers,take up residence,test of character,tilt at windmills,time of departure,took it seriously,tout au contraire,Tree of Knowledge,turn to advantage
15 Letters,"4,2,9",Vale of Glamorgan,vive la bagatelle,walk in wardrobes,walk on eggshells,warm up exercises,what in tarnation,wins on penalties,writ of privilege,you'd be surprised
15 Letters,"4,3,1,4,3",pull off a fast one,What can I tell you,,,,,,,
15 Letters,"4,3,1,7",lick and a promise,pose for a picture,,,,,,,
15 Letters,"4,3,2,3,3",come out of the ark,gets out of the way,hits one in the eye,hits you in the eye,keep out of the way,long arm of the law,move out of the way,stay out of the way,
15 Letters,"4,3,2,6",came out of hiding,came out on strike,come out of hiding,come out on strike,fall out of favour,fell out of favour,from top to bottom,hard act to follow,jack out of office
15 Letters,"4,3,2,6",Nord Pas de Calais,pick out at random,poor man of mutton,puts out to tender,this tea is strong,time out of number,turn out in droves,Well I'll be blowed,well I'll be damned
15 Letters,"4,3,2,6",wild man of Borneo,,,,,,,,
15 Letters,"4,3,3,1,4",dish fit for a king,give the dog a bone,,,,,,,
15 Letters,"4,3,3,3,2",beat the tar out of,when the rot set in,,,,,,,
15 Letters,"4,3,3,5",call all the shots,can't see the point,come the raw prawn,down for the count,drop off the radar,even out the score,fair fat and forty,fall off the perch,fall off the wagon
15 Letters,"4,3,3,5",fell off the perch,free bed and board,From the New World,game set and match,gave off bad vibes,give off bad vibes,give the all clear,goes off the rails,gone off the rails
15 Letters,"4,3,3,5",good day for ducks,have all the facts,have fun and games,have ups and downs,head for the hills,held all the cards,,,
15 Letters,"4,3,3,5",hold all the cards,keep off the grass,Lady and the Tramp,last but not least,like oil and water,Live now pay later,live off the state,make for the hills,none but the brave
15 Letters,"4,3,3,5",pass the hat round,play cat and mouse,ride out the storm,seen and not heard,seen but not heard,stay for the night,stay out all night,take out the sting,tick all the boxes
15 Letters,"4,3,3,5",turn for the worse,turn off the light,turn off the power,turn off the radio,turn out the light,went off the rails,what are you doing,when the dog bites,work day and night
15 Letters,"4,3,4,2,2",have the best of it,make the best of it,make the most of it,make too much of it,,,,,
15 Letters,"4,3,4,4",Baby One More Time,dead men don't bite,fail the acid test,fear for one's life,feel ten feet tall,fish and chip shop,gain the whip hand,gave the game away,give the game away
15 Letters,"4,3,4,4",give the once over,grab the best seat,hard and fast rule,have and have nots,have one last look,have the last word,have the whip hand,have two left feet,hold the door open
15 Letters,"4,3,4,4",hold the whip hand,Iron age hill fort,keep the door open,kept the door open,,,,,
15 Letters,"4,3,4,4",left the door open,lets the side down,live the good life,live the high life,more cry than wool,once and once only,open and shut case,over and done with,part buy part rent
15 Letters,"4,3,4,4",part man part bull,part man part goat,pass the acid test,play the lead role,play the long game,play the race card,rear its ugly head,rock and roll band,shut the door upon
15 Letters,"4,3,4,4",sing the same tune,take the blue pill,take the high road,take the long view,take the next step,tear out one's hair,till the next time,When The Cat's Away,Wish you were here
15 Letters,"4,3,5,3",bore the pants off,each and every day,each and every one,give the brush off,give the stink eye,goes the whole hog,goes the wrong way,have the final say,into the lion's den
15 Letters,"4,3,5,3",knit one pearl one,look the other way,made the first bid,make the first bid,pull the other one,song and dance act,take one final bow,take the chill off,take the gloss off
15 Letters,"4,3,5,3",take the night off,take the shine off,take the sting out,take the wraps off,took the chill off,took the gloss off,took the shine off,took the sting out,turn the light off
15 Letters,"4,3,5,3",went the whole hog,went the wrong way,with the naked eye,,,,,,
15 Letters,"4,3,6,2",from the bottom up,from the ground up,gave the thumbs up,gets the better of,give the thumbs up,Keep the Lights On,part and parcel of,turn the boiler on,turn the lights on
15 Letters,"4,3,6,2",turn the tables on,turn the volume up,Wind the Bobbin Up,with kid gloves on,,,,,
15 Letters,"4,3,8",Adam Lay Ybounden,back the underdog,beat the deadline,beer and skittles,begs the question,Bing and Grondahl,blue sky thinking,cash for peerages,cold and clinical
15 Letters,"4,3,8",come out fighting,does the business,don't get involved,draw the curtains,drop the pretence,feel the pressure,fend for yourself,find the solution,from the rooftops
15 Letters,"4,3,8",from the shoulder,gall and wormwood,game for anything,goes the distance,good for business,grey and overcast,Gulf War syndrome,hail and farewell,half the distance
15 Letters,"4,3,8",hand out leaflets,have the audacity,Have you finished,hide the evidence,,,,,
15 Letters,"4,3,8",hold the interest,Ivan the Terrible,Ivar the Boneless,join the majority,just the opposite,keep one guessing,kick the calendar,last man standing,last one standing
15 Letters,"4,3,8",last the distance,left the building,left the premises,let's get physical,Let's Get Together,lift and separate,like the clappers,look the business,mark the occasion
15 Letters,"4,3,8",meat and potatoes,meet the criteria,meet the deadline,miss the deadline,nazi war criminal,next day delivery,nice and friendly,Only God Forgives,open for business
15 Letters,"4,3,8",open the presents,open the throttle,Otto von Bismarck,over the boundary,over the deadline,oyer and terminer,pass the potatoes,past the deadline,peel the potatoes
15 Letters,"4,3,8",pipe and slippers,play the recorder,pomp and ceremony,pops the question,push the envelope,reap the benefits,ring the doorbell,ripe for takeover,Ross and Cromarty
15 Letters,"4,3,8",sail the Atlantic,same sex marriage,Save the Children,Sink the Bismarck,stay the distance,suit the occasion,surf the internet,tail end charlies,take the medicine
15 Letters,"4,3,8",take the shilling,tars and feathers,took the medicine,toss the pancakes,tout for business,type two diabetes,used car salesman,used car salesmen,wear the breeches
15 Letters,"4,3,8",wear the trousers,went the distance,whet the appetite,will and pleasure,wore the trousers,,,,
15 Letters,"4,4,1,3,3",feel like a new man,more than I can say,talk like a pen gun,,,,,,
15 Letters,"4,4,1,4,2",have half a mind to,,,,,,,,
15 Letters,"4,4,1,6",back into a corner,don't move a muscle,face like a fiddle,Girl with a Kitten,held over a barrel,hold over a barrel,just what I wanted,last time I looked,made life a misery
15 Letters,"4,4,1,6",make life a misery,make mine a double,make that a double,sang like a canary,sing like a canary,work like a Trojan,,,
15 Letters,"4,4,2,1,4",Troy Fall of a City,,,,,,,,
15 Letters,"4,4,2,3,2",have half an eye on,keep half an eye on,mind one's ps and qs,mind your ps and qs,,,,,
15 Letters,"4,4,2,5",came down to earth,came home to roost,come down in price,come down to earth,come home to roost,come rain or shine,don't even go there,don't make me laugh,feel like an idiot
15 Letters,"4,4,2,5",felt like an idiot,fill full of holes,from hand to mouth,from left to right,from morn to night,from stem to stern,gets back on track,gods gift to women,have pots of money
15 Letters,"4,4,2,5",have time to spare,have what it takes,let's call it quits,Look Back in Anger,look good on paper,poke full of holes,safe pair of hands,Slow Boat to China,this vale of tears
15 Letters,"4,4,2,5",went back to sleep,with hand on heart,with room to spare,with time to spare,,,,,
15 Letters,"4,4,3,2,2",keep one's eye on it,make good use of it,Well look who it is,,,,,,
15 Letters,"4,4,3,4",back from the dead,bend with the wind,bolt from the blue,cast one's net wide,cast your eye over,cast your net wide,come back for more,come into the fold,don't know for sure
15 Letters,"4,4,3,4",don't rock the boat,don't take the risk,don't tell him Pike,Down With The Kids,fair wear and tear,fall into the trap,fall over the edge,fell into the trap,fell over the edge
15 Letters,"4,4,3,4",give like for like,Gone with the Wind,hold open the door,hunt with the pack,idle away the time,jump into the fray,just down the road,keep one's gob shut,keep your gob shut
15 Letters,"4,4,3,4",know one's own mind,know your own mind,lead with the chin,like cats and dogs,like what one sees,long live the king,lose one's car keys,lost one's car keys,
15 Letters,"4,4,3,4",mean what one says,More Than You Know,over head and ears,paid over the odds,play hide and seek,rain cats and dogs,rake over the past,reap what one sows,rise from the dead
15 Letters,"4,4,3,4",rise with the lark,risk life and limb,Roll Over Lay Down,rose from the dead,sail into the wind,save one's own neck,save one's own skin,step into the fray,step over the line
15 Letters,"4,4,3,4",swim with the tide,take one's own life,take your own life,tied hand and foot,turn back the tide,turn down the beds,went over the edge,what have you done,What Katy did next
15 Letters,"4,4,3,4",work one's way back,,,,,,,,
15 Letters,"4,4,4,3",cast your vote for,come into one's own,come what come may,fall arse over tit,fall into one's lap,fell arse over tit,hang onto your hat,hold one's hand out,hold onto your hat
15 Letters,"4,4,4,3",keep your nose out,Kuch Kuch Hota Hai,less than half way,melt into thin air,more than half way,more ways than one,only have eyes for,part rent part buy,slog one's guts out
15 Letters,"4,4,4,3",take one's coat off,tear one's hair out,tear your hair out,took one's coat off,well done that man,,,,
15 Letters,"4,4,5,2",don't keep going on,hang one's boots up,hang your boots up,hold one's hands up,just kept going on,keep one's guard up,keep one's hopes up,keep one's shirt on,keep your guard up
15 Letters,"4,4,5,2",keep your shirt on,pour cold water on,pull one's socks up,pull your socks up,sink one's teeth in,tuck one's shirt in,tuck your shirt in,,
15 Letters,"4,4,7",anti tank missile,anti tank weapons,back seat drivers,back seat driving,bare eyed antbird,Beji Caid Essebsi,best case scenario,best foot forward,best kept village
15 Letters,"4,4,7",blow one's chances,blue chip company,body line bowling,book one's passage,bred like rabbits,burn one's bridges,burn one's fingers,burn your bridges,burn your fingers
15 Letters,"4,4,7",can't take anymore,care home workers,Caro Kann Defence,cash flow problem,cast iron stomach,,,,
15 Letters,"4,4,7",coin cell battery,come into contact,cowl neck sweater,cowl neck jumpers,crew neck jumpers,crew neck sweater,Dame Edna Everage,Dame Joan Collins,dead man's fingers
15 Letters,"4,4,7",dead men's fingers,dead tree edition,dead tree version,Dear John letters,drop one's aitches,drop your aitches,drum one's fingers,earn one's stripes,earn your stripes
15 Letters,"4,4,7",eyes like saucers,face like thunder,fall over oneself,fill one's pockets,fill one's stomach,fill your pockets,Fire Over England,five star general,five star reviews
15 Letters,"4,4,7",flat leaf parsley,flex one's muscles,flex your muscles,flip flop circuit,four star general,full time whistle,gave one's consent,gave one's opinion,
15 Letters,"4,4,7",gave one's support,give one's backing,give one's consent,give one's opinion,give one's support,give your consent,Good Will Hunting,Guru Tegh Bahadur,half term holiday
15 Letters,"4,4,7",half time whistle,hard luck stories,hark who's talking,have deep pockets,have good manners,have one's moments,have one's revenge,have some success,have your revenge
15 Letters,"4,4,7",head down display,here goes nothing,high gain antenna,high risk venture,hold that thought,Jean Marc Ayrault,just good friends,keep good company,keep one's balance
15 Letters,"4,4,7",keep one's counsel,keep one's promise,keep your promise,kept one's promise,Lady Bird Johnson,Lady Mary Crawley,Last Seen Wearing,lead acid battery,lend one's support
15 Letters,"4,4,7",lent one's support,less than certain,less than helpful,less than nothing,less than perfect,less than pleased,let's make friends,lick one's fingers,lick your fingers
15 Letters,"4,4,7",line one's pockets,line one's stomach,line your pockets,,,,,,
15 Letters,"4,4,7",Loch Ness monster,long haul flights,long lost cousins,long lost friends,long term effects,long term measure,long toed lapwing,look who's talking,Lord High Admiral
15 Letters,"4,4,7",Lord John Russell,lose one's balance,lose one's deposit,lose one's dignity,lose one's footing,lose one's hearing,lose one's husband,lose one's licence,lose one's marbles
15 Letters,"4,4,7",lose self control,lose your footing,lose your marbles,lost one's balance,lost one's deposit,lost one's footing,lost one's hearing,lost one's marbles,lost self control
15 Letters,"4,4,7",made huge strides,made one's fortune,main line station,make huge strides,make one's excuses,make one's fortune,make your excuses,make your fortune,meet one's targets
15 Letters,"4,4,7",meet with success,men's team pursuit,mind one's manners,mind your manners,miss one's footing,Miss Otis Regrets,miss your footing,more than capable,more than welcome
15 Letters,"4,4,7",Move over Darling,News from Nowhere,nine volt battery,open side flanker,pale blue monarch,palm tree justice,,,
15 Letters,"4,4,7",part time workers,past life therapy,past one's bedtime,past your bedtime,peak time viewing,peat free compost,play with oneself,pull one's punches,pull some strings
15 Letters,"4,4,7",pull your punches,push one's fortune,road fund licence,roll neck sweater,roly poly pudding,rush hour traffic,sang one's praises,save shoe leather,sell into slavery
15 Letters,"4,4,7",send one's regards,show good manners,show one's colours,show one's ivories,show some respect,sing one's praises,snap one's fingers,snap your fingers,soft shoe dancers
15 Letters,"4,4,7",soft shoe shuffle,soil one's clothes,sold into slavery,Some Came Running,stem cell therapy,take back control,take deep breaths,take into account,take into custody
15 Letters,"4,4,7",take one's chances,take one's revenge,take some beating,take your chances,term time workers,term time working,that will suffice,took into account,took one's chances
15 Letters,"4,4,7",took one's revenge,took some beating,turn one's stomach,wear one's glasses,went into reverse,What Lies Beneath,wore one's glasses,work life balance,work one's passage
15 Letters,"4,4,7",work your passage,,,,,,,,
15 Letters,"4,5,1,5",fall under a spell,five times a night,left under a cloud,Love Shine a Light,that works a treat,,,,
15 Letters,"4,5,2,1,3",five times in a row,four times in a row,nine times in a row,,,,,,
15 Letters,"4,5,2,4",bare faced go away,fair means or foul,from first to last,from right to left,have money to burn,keep track of time,lose track of time,lost track of time,main claim to fame
15 Letters,"4,5,2,4",nice piece of work,one's claim to fame,show signs of life,show signs of wear,well bless my soul,went short of food,your place or mine,,
15 Letters,"4,5,3,3",Here comes the Sun,pass round the hat,reds under the bed,stay where you are,work night and day,,,,
15 Letters,"4,5,4,2",eeny meeny miny mo,lose sleep over it,make great play of,made heavy work of,made short work of,make heavy work of,make light work of,make short work of,only fools rush in
15 Letters,"4,5,6",ante natal clinic,ashy storm petrel,baby grand pianos,bald faced hornet,bare faced bulbul,bare nosed wombat,bite sized chunks,blue naped parrot,blue sided sprite
15 Letters,"4,5,6",blue spiny lizard,came under attack,come under attack,Dame Flora Robson,Dame Helen Mirren,Dame Kelly Holmes,Dame Laura Knight,damp proof course,data input device
15 Letters,"4,5,6",Davy Jones locker,dog's tooth edging,dog's tooth violet,drab water tyrant,emmy award winner,,,,
15 Letters,"4,5,6",even money chance,fair usage policy,five pence pieces,five spice powder,flat earth theory,foot pound second,four lined wrasse,Four Noble Truths,four weeks notice
15 Letters,"4,5,6",full metal jacket,full scale attack,full speed astern,gilt edged stocks,give three cheers,gold medal winner,good track record,grey faced petrel,grey sided thrush
15 Letters,"4,5,6",half baked theory,half blood prince,half cross stitch,half hardy annual,half price offers,half round chisel,have grave doubts,high court judges,high speed trains
15 Letters,"4,5,6",Holy Roman Empire,Incy Wincy spider,Jean Henri Durant,Jesu meine Freude,John Edgar Hoover,John Henry Newman,keep under review,Lady Brett Ashley,land speed record
15 Letters,"4,5,6",last ditch battle,last ditch effort,last ditch tackle,lazy daisy stitch,lead lined coffin,,,,
15 Letters,"4,5,6",long eared jerboa,long eared myotis,long nosed monkey,Lord Baden Powell,Lord Peter Wimsey,made every effort,mail order brides,make every effort,make haste slowly
15 Letters,"4,5,6",Mont Saint Michel,move along please,near earth object,pale faced bulbul,pale shrew tenrec,peat swamp forest,pede poena claudo,pied water tyrant,pink coral fungus
15 Letters,"4,5,6",play first fiddle,poor track record,post dated cheque,rare earth metals,Rust Never sleeps,salt water gargle,same again please,snub nosed monkey,stop being greedy
15 Letters,"4,5,6",such sweet sorrow,take legal action,took legal action,Well Woman Clinic,well worth seeing,wide angle lenses,wind chill factor,with bated breath,with fists flying
15 Letters,"4,5,6",Yves Saint Martin,zero point energy,,,,,,,
15 Letters,"4,6,2,3",good enough to eat,Holy Mother of God,Mato Grosso do sul,tria juncta in uno,,,,,
15 Letters,"4,6,3,2",just doesn't add up,,,,,,,,
15 Letters,"4,6,5",amor vincit omnia,anti caking agent,anti vandal paint,arch braced truss,ashy headed goose,ashy tailed swift,bell shaped curve,belt buckle knife,blue banded pitta
